country,year,inflation_rate,prev_year_inflation,yoy_change
Algeria,2021,7.22606307415477,NULL,NULL
Algeria,2022,9.26551551551553,7.22606307415477,2.04
Algeria,2023,9.32217375928322,9.26551551551553,0.06
Algeria,2024,4.04611455313434,9.32217375928322,-5.28
Canada,2021,3.39519318527528,NULL,NULL
Canada,2022,6.80280115341613,3.39519318527528,3.41
Canada,2023,3.87900159788426,6.80280115341613,-2.92
Canada,2024,2.38158383281173,3.87900159788426,-1.5
"Egypt, Arab Rep.",2021,5.21404940513043,NULL,NULL
"Egypt, Arab Rep.",2022,13.8956609775178,5.21404940513043,8.68
"Egypt, Arab Rep.",2023,33.8847763115546,13.8956609775178,19.99
"Egypt, Arab Rep.",2024,28.2705899322083,33.8847763115546,-5.61
France,2021,1.64233141038385,NULL,NULL
France,2022,5.22236748369735,1.64233141038385,3.58
France,2023,4.87835726508441,5.22236748369735,-0.34
France,2024,1.99904942291463,4.87835726508441,-2.88
Germany,2021,3.06666666666673,NULL,NULL
Germany,2022,6.87257438551097,3.06666666666673,3.81
Germany,2023,5.94643667725823,6.87257438551097,-0.93
Germany,2024,2.2564981433876,5.94643667725823,-3.69
Italy,2021,1.87378325762481,NULL,NULL
Italy,2022,8.20128991161718,1.87378325762481,6.33
Italy,2023,5.62219442195901,8.20128991161718,-2.58
Italy,2024,0.982373023061417,5.62219442195901,-4.64
Japan,2021,-0.233352779398264,NULL,NULL
Japan,2022,2.49770278172255,-0.233352779398264,2.73
Japan,2023,3.26813365933163,2.49770278172255,0.77
Japan,2024,2.73853681635241,3.26813365933163,-0.53
Morocco,2021,1.40195883962006,NULL,NULL
Morocco,2022,6.65704202759067,1.40195883962006,5.26
Morocco,2023,6.09114152504141,6.65704202759067,-0.57
Morocco,2024,0.985256592004507,6.09114152504141,-5.11
Nigeria,2021,16.9528457221608,NULL,NULL
Nigeria,2022,18.8471877843274,16.9528457221608,1.89
Nigeria,2023,24.659550203114,18.8471877843274,5.81
Nigeria,2024,33.2420966545406,24.659550203114,8.58
"South Africa",2021,4.61874544887136,NULL,NULL
"South Africa",2022,7.03987272546482,4.61874544887136,2.42
"South Africa",2023,6.0752438457966,7.03987272546482,-0.96
"South Africa",2024,4.36115246518962,6.0752438457966,-1.71
"United Kingdom",2021,2.51837109614213,NULL,NULL
"United Kingdom",2022,7.92204883147902,2.51837109614213,5.4
"United Kingdom",2023,6.79396706793963,7.92204883147902,-1.13
"United Kingdom",2024,3.2715729463592,6.79396706793963,-3.52
"United States",2021,4.69785886363742,NULL,NULL
"United States",2022,8.00279982052121,4.69785886363742,3.3
"United States",2023,4.11633838374488,8.00279982052121,-3.89
"United States",2024,2.94952520485207,4.11633838374488,-1.17
